Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude,Fines content (%),CPT qc (MPa)
Yes,60.38,0.64,7.5,4.38,9.61
Yes,83.95,0.64,7.5,3,5.2
Yes,66.95,0.64,7.5,2.5,8.49
No,46.8,0.64,7.5,8.3,11.74
No,88.12,0.64,7.5,5,5.5
Yes,26.56,0.61,7.5,3.8,3.43
Yes,41.37,0.58,7.5,13.05,2.06
Yes,75.51,0.58,7.5,8.03,12.27
Yes,26.58,0.54,7.5,12,8.92
Yes,30.57,0.27,7.5,3.01,8.95
No,98.26,0.26,7.5,10,10.78
No,97.4,0.27,7.5,7.64,4.64
Yes,122.66,0.27,7.5,4.5,4.46
Yes,47.1,0.22,7.2,13,5.12
Yes,53.9,0.22,7.2,13,3.66
Yes,62.8,0.22,7.2,13,3.05
Yes,71.6,0.22,7.2,13,1.29
Yes,80.4,0.22,7.2,13,5.12
No,44.5,0.6,6.6,17.5,19.9
Yes,44.5,0.6,6.6,17.5,1.8
No,44.5,0.6,6.6,40,7
Yes,13.9,0.2,6.6,50,2
Yes,31.6,0.2,6.6,20,4.9
Yes,41,0.51,6.53,20,3.22
Yes,49,0.2,6.53,64,1.4
Yes,43,0.19,6.33,8,3.1
Yes,43,0.19,6.33,51,1.7
Yes,46,0.19,6.33,52,1.9
Yes,38,0.19,6.33,32,3
No,41,0.09,5.9,20,3.22
Yes,49,0.2,5.9,64,1.4
No,39,0.2,5.9,18,6.4
Yes,54,0.26,5.9,30,5.33
Yes,23,0.17,7.7,5,2.2
Yes,49,0.17,7.7,5,2.1
No,47,0.17,7.7,5,3.9
No,47.1,0.23,7.7,13,9.81
No,53,0.23,7.7,13,15.69
No,63.7,0.23,7.7,13,15.08
Yes,45.1,0.23,7.7,13,1.76
Yes,51,0.23,7.7,13,4.02
Yes,65.7,0.23,7.7,13,7.8
Yes,73.5,0.23,7.7,13,8.8
Yes,38,0.3,6.88,2,4.91
Yes,29,0.5,6.88,20,5.69
Yes,51,0.5,6.88,30,7
Yes,124,0.5,6.88,20,8.19
Yes,35,0.37,6.6,35,6.73
Yes,79,0.4,6.6,30,2.31
